SID,model
SID-108427,Senograph DS ADS_43.10.1
SID-108439,Senograph DS ADS_43.10.1
SID-108459,Senograph DS ADS_43.10.1
SID-108479,Senograph DS ADS_43.10.1
SID-108507,Senograph DS ADS_43.10.1
SID-108527,Senograph DS ADS_43.10.1
SID-108535,Senographe Essential VERSION ADS_54.11
SID-108547,Senograph DS VERSION ADS_54.11
SID-108557,Senograph DS VERSION ADS_54.11
SID-108559,Senographe Essential VERSION ADS_54.11
SID-108562,Senograph DS ADS_43.10.1
SID-108580,Senographe Essential VERSION ADS_54.11
SID-108582,Senographe Essential VERSION ADS_54.11
SID-108590,Senograph DS VERSION ADS_54.11
SID-108599,Senographe Essential VERSION ADS_54.11
SID-108601,Senograph DS ADS_43.10.1
SID-108614,Senograph DS VERSION ADS_54.11
SID-108620,Senograph DS VERSION ADS_54.11
SID-108622,Senograph DS VERSION ADS_54.11
SID-108630,Senograph DS VERSION ADS_54.11
SID-108639,Senographe Essential VERSION ADS_54.11
SID-108670,Senograph DS VERSION ADS_54.11
SID-108731,Senographe Essential VERSION ADS_54.11
SID-108747,Senograph DS ADS_43.10.1
SID-108748,Senograph DS VERSION ADS_54.11
SID-108765,Senographe Essential VERSION ADS_54.11
SID-108774,Senograph DS VERSION ADS_54.11
SID-108790,Senographe Essential VERSION ADS_54.11
SID-108791,Senograph DS VERSION ADS_54.11
SID-108792,Senographe Essential VERSION ADS_54.11
SID-108810,Senographe Essential VERSION ADS_54.11
SID-108816,Senographe Essential VERSION ADS_54.11
SID-108820,Senograph DS VERSION ADS_54.11
SID-108868,Senograph DS VERSION ADS_54.11
SID-108881,Senograph DS VERSION ADS_54.11
SID-108882,Senograph DS ADS_43.10.1
SID-108894,Senographe Essential VERSION ADS_54.11
SID-108914,Senograph DS VERSION ADS_54.11
SID-108949,Senographe Essential VERSION ADS_54.11
SID-108961,Senographe Essential VERSION ADS_54.11
SID-108964,Senograph DS VERSION ADS_54.11
SID-108967,Senographe Essential VERSION ADS_54.11
SID-108994,Senograph DS VERSION ADS_54.11
SID-108996,Senographe Essential VERSION ADS_54.11
SID-109018,Senograph DS VERSION ADS_54.11
SID-109037,Senograph DS ADS_43.10.1
SID-109050,Senograph DS VERSION ADS_54.11
SID-109066,Senographe Essential VERSION ADS_54.11
SID-109070,Senographe Essential VERSION ADS_54.11
SID-109131,Senograph DS VERSION ADS_54.11
SID-109144,Senographe Essential VERSION ADS_54.11
SID-109146,Senograph DS VERSION ADS_54.11
SID-109150,Senograph DS VERSION ADS_54.11
SID-109152,Senograph DS VERSION ADS_54.11
SID-109157,Senographe Essential VERSION ADS_54.11
SID-109161,Senographe Essential VERSION ADS_54.11
SID-109182,Senographe Essential VERSION ADS_54.11
SID-109183,Senographe Essential VERSION ADS_54.11
SID-109210,Senographe Essential VERSION ADS_54.11
SID-109215,Senographe Essential VERSION ADS_54.11
SID-109227,Senographe Essential VERSION ADS_54.11
SID-109244,Senograph DS VERSION ADS_54.11
SID-109250,Senograph DS ADS_43.10.1
SID-109256,Senographe Essential VERSION ADS_54.11
SID-109291,Senographe Essential VERSION ADS_54.11
SID-109323,Senograph DS VERSION ADS_54.11
SID-109343,Senographe Essential VERSION ADS_54.11
SID-109368,Senographe Essential VERSION ADS_54.11
SID-109376,Senographe Essential VERSION ADS_54.11
SID-109380,Senographe Essential VERSION ADS_54.11
SID-109382,Senographe Essential VERSION ADS_54.11
SID-109385,Senograph DS VERSION ADS_54.11
SID-109393,Senograph DS ADS_43.10.1
SID-109400,Senograph DS VERSION ADS_54.11
SID-109408,Senographe Essential VERSION ADS_54.11
SID-109414,Senographe Essential VERSION ADS_54.11
SID-109415,Senograph DS ADS_43.10.1
SID-109431,Senograph DS VERSION ADS_54.11
SID-109432,Senograph DS VERSION ADS_54.11
SID-109438,Senograph DS VERSION ADS_54.11
SID-109455,Senographe Essential VERSION ADS_54.11
SID-109459,Senograph DS VERSION ADS_54.11
SID-109467,Senograph DS VERSION ADS_54.11
SID-109471,Senograph DS VERSION ADS_54.11
SID-109481,Senographe Essential VERSION ADS_54.11
SID-109546,Senographe Essential VERSION ADS_54.11
SID-109554,Senographe Essential VERSION ADS_54.11
SID-109565,Senograph DS VERSION ADS_54.11
SID-109593,Senographe Essential VERSION ADS_54.11
SID-109613,Senograph DS VERSION ADS_54.11
SID-109615,Senographe Essential VERSION ADS_54.11
SID-109675,Senographe Essential VERSION ADS_54.11
